Category,Question,Answer
Culture,Which city is known as 'The Big Apple'? (1746),New York City
Geography,What is the capital of France? (1747),Paris
Science,What planet is known as the Red Planet? (1748),Mars
Culture,Which city is known as 'The Big Apple'? (1749),New York City
History,What year did World War II end? (1750),1945
Geography,What is the capital of France? (1751),Paris
Culture,Which city is known as 'The Big Apple'? (1752),New York City
Culture,Which city is known as 'The Big Apple'? (1753),New York City
Math,What is the square root of 144? (1754),12
Geography,What is the capital of France? (1755),Paris
Technology,Who founded Microsoft? (1756),Bill Gates
Technology,Who founded Microsoft? (1757),Bill Gates
Math,What is the square root of 144? (1758),12
Math,What is the square root of 144? (1759),12
Technology,Who founded Microsoft? (1760),Bill Gates
Math,What is the square root of 144? (1761),12
Math,What is the square root of 144? (1762),12
Technology,Who founded Microsoft? (1763),Bill Gates
Geography,What is the capital of France? (1764),Paris
Culture,Which city is known as 'The Big Apple'? (1765),New York City
Geography,What is the capital of France? (1766),Paris
Culture,Which city is known as 'The Big Apple'? (1767),New York City
Math,What is the square root of 144? (1768),12
Math,What is the square root of 144? (1769),12
Celebrities,Who played the lead role in Black Panther? (1770),Chadwick Boseman
Science,What planet is known as the Red Planet? (1771),Mars
Science,What planet is known as the Red Planet? (1772),Mars
Culture,Which city is known as 'The Big Apple'? (1773),New York City
History,What year did World War II end? (1774),1945
Math,What is the square root of 144? (1775),12
Sports,Which country won the FIFA World Cup in 2022? (1776),Argentina
Math,What is the square root of 144? (1777),12
Celebrities,Who played the lead role in Black Panther? (1778),Chadwick Boseman
Culture,Which city is known as 'The Big Apple'? (1779),New York City
Geography,What is the capital of France? (1780),Paris
Math,What is the square root of 144? (1781),12
Geography,What is the capital of France? (1782),Paris
Technology,Who founded Microsoft? (1783),Bill Gates
Technology,Who founded Microsoft? (1784),Bill Gates
Math,What is the square root of 144? (1785),12
Math,What is the square root of 144? (1786),12
History,What year did World War II end? (1787),1945
Celebrities,Who played the lead role in Black Panther? (1788),Chadwick Boseman
Technology,Who founded Microsoft? (1789),Bill Gates
Technology,Who founded Microsoft? (1790),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (1791),Argentina
Technology,Who founded Microsoft? (1792),Bill Gates
Technology,Who founded Microsoft? (1793),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (1794),Argentina
Celebrities,Who played the lead role in Black Panther? (1795),Chadwick Boseman
Science,What planet is known as the Red Planet? (1796),Mars
Culture,Which city is known as 'The Big Apple'? (1797),New York City
Geography,What is the capital of France? (1798),Paris
Celebrities,Who played the lead role in Black Panther? (1799),Chadwick Boseman
History,What year did World War II end? (1800),1945
Sports,Which country won the FIFA World Cup in 2022? (1801),Argentina
History,What year did World War II end? (1802),1945
Science,What planet is known as the Red Planet? (1803),Mars
Geography,What is the capital of France? (1804),Paris
Geography,What is the capital of France? (1805),Paris
Technology,Who founded Microsoft? (1806),Bill Gates
Math,What is the square root of 144? (1807),12
Culture,Which city is known as 'The Big Apple'? (1808),New York City
Math,What is the square root of 144? (1809),12
Sports,Which country won the FIFA World Cup in 2022? (1810),Argentina
Celebrities,Who played the lead role in Black Panther? (1811),Chadwick Boseman
Technology,Who founded Microsoft? (1812),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (1813),Argentina
History,What year did World War II end? (1814),1945
Science,What planet is known as the Red Planet? (1815),Mars
History,What year did World War II end? (1816),1945
Sports,Which country won the FIFA World Cup in 2022? (1817),Argentina
Science,What planet is known as the Red Planet? (1818),Mars
Geography,What is the capital of France? (1819),Paris
History,What year did World War II end? (1820),1945
Math,What is the square root of 144? (1821),12
Sports,Which country won the FIFA World Cup in 2022? (1822),Argentina
Sports,Which country won the FIFA World Cup in 2022? (1823),Argentina
Math,What is the square root of 144? (1824),12
Celebrities,Who played the lead role in Black Panther? (1825),Chadwick Boseman
Culture,Which city is known as 'The Big Apple'? (1826),New York City
Math,What is the square root of 144? (1827),12
Geography,What is the capital of France? (1828),Paris
Geography,What is the capital of France? (1829),Paris
History,What year did World War II end? (1830),1945
Geography,What is the capital of France? (1831),Paris
Math,What is the square root of 144? (1832),12
Technology,Who founded Microsoft? (1833),Bill Gates
Celebrities,Who played the lead role in Black Panther? (1834),Chadwick Boseman
Culture,Which city is known as 'The Big Apple'? (1835),New York City
History,What year did World War II end? (1836),1945
Geography,What is the capital of France? (1837),Paris
Math,What is the square root of 144? (1838),12
History,What year did World War II end? (1839),1945
Sports,Which country won the FIFA World Cup in 2022? (1840),Argentina
Culture,Which city is known as 'The Big Apple'? (1841),New York City
Math,What is the square root of 144? (1842),12
Technology,Who founded Microsoft? (1843),Bill Gates
History,What year did World War II end? (1844),1945
Science,What planet is known as the Red Planet? (1845),Mars
Science,What planet is known as the Red Planet? (1846),Mars
Culture,Which city is known as 'The Big Apple'? (1847),New York City
Celebrities,Who played the lead role in Black Panther? (1848),Chadwick Boseman
Science,What planet is known as the Red Planet? (1849),Mars
Celebrities,Who played the lead role in Black Panther? (1850),Chadwick Boseman
History,What year did World War II end? (1851),1945
History,What year did World War II end? (1852),1945
Geography,What is the capital of France? (1853),Paris
Culture,Which city is known as 'The Big Apple'? (1854),New York City
Technology,Who founded Microsoft? (1855),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (1856),Argentina
Math,What is the square root of 144? (1857),12
Science,What planet is known as the Red Planet? (1858),Mars
Technology,Who founded Microsoft? (1859),Bill Gates
Geography,What is the capital of France? (1860),Paris
Math,What is the square root of 144? (1861),12
Culture,Which city is known as 'The Big Apple'? (1862),New York City
Math,What is the square root of 144? (1863),12
Sports,Which country won the FIFA World Cup in 2022? (1864),Argentina
Math,What is the square root of 144? (1865),12
Culture,Which city is known as 'The Big Apple'? (1866),New York City
Technology,Who founded Microsoft? (1867),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (1868),Argentina
Celebrities,Who played the lead role in Black Panther? (1869),Chadwick Boseman
Geography,What is the capital of France? (1870),Paris
Math,What is the square root of 144? (1871),12
History,What year did World War II end? (1872),1945
Science,What planet is known as the Red Planet? (1873),Mars
Math,What is the square root of 144? (1874),12
Celebrities,Who played the lead role in Black Panther? (1875),Chadwick Boseman
Math,What is the square root of 144? (1876),12
Culture,Which city is known as 'The Big Apple'? (1877),New York City
Technology,Who founded Microsoft? (1878),Bill Gates
Technology,Who founded Microsoft? (1879),Bill Gates
History,What year did World War II end? (1880),1945
Geography,What is the capital of France? (1881),Paris
History,What year did World War II end? (1882),1945
Geography,What is the capital of France? (1883),Paris
Culture,Which city is known as 'The Big Apple'? (1884),New York City
Science,What planet is known as the Red Planet? (1885),Mars
Geography,What is the capital of France? (1886),Paris
Technology,Who founded Microsoft? (1887),Bill Gates
Technology,Who founded Microsoft? (1888),Bill Gates
Celebrities,Who played the lead role in Black Panther? (1889),Chadwick Boseman
Geography,What is the capital of France? (1890),Paris
Culture,Which city is known as 'The Big Apple'? (1891),New York City
Celebrities,Who played the lead role in Black Panther? (1892),Chadwick Boseman
Celebrities,Who played the lead role in Black Panther? (1893),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (1894),Argentina
Technology,Who founded Microsoft? (1895),Bill Gates
History,What year did World War II end? (1896),1945
History,What year did World War II end? (1897),1945
Culture,Which city is known as 'The Big Apple'? (1898),New York City
Geography,What is the capital of France? (1899),Paris
Celebrities,Who played the lead role in Black Panther? (1900),Chadwick Boseman
Technology,Who founded Microsoft? (1901),Bill Gates
Geography,What is the capital of France? (1902),Paris
Celebrities,Who played the lead role in Black Panther? (1903),Chadwick Boseman
Geography,What is the capital of France? (1904),Paris
Sports,Which country won the FIFA World Cup in 2022? (1905),Argentina
Geography,What is the capital of France? (1906),Paris
History,What year did World War II end? (1907),1945
Science,What planet is known as the Red Planet? (1908),Mars
Geography,What is the capital of France? (1909),Paris
Sports,Which country won the FIFA World Cup in 2022? (1910),Argentina
Geography,What is the capital of France? (1911),Paris
Math,What is the square root of 144? (1912),12
Sports,Which country won the FIFA World Cup in 2022? (1913),Argentina
Science,What planet is known as the Red Planet? (1914),Mars
Math,What is the square root of 144? (1915),12
Sports,Which country won the FIFA World Cup in 2022? (1916),Argentina
Technology,Who founded Microsoft? (1917),Bill Gates
Celebrities,Who played the lead role in Black Panther? (1918),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (1919),Argentina
Science,What planet is known as the Red Planet? (1920),Mars
Culture,Which city is known as 'The Big Apple'? (1921),New York City
Celebrities,Who played the lead role in Black Panther? (1922),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (1923),Argentina
Celebrities,Who played the lead role in Black Panther? (1924),Chadwick Boseman
Geography,What is the capital of France? (1925),Paris
Sports,Which country won the FIFA World Cup in 2022? (1926),Argentina
Math,What is the square root of 144? (1927),12
Science,What planet is known as the Red Planet? (1928),Mars
History,What year did World War II end? (1929),1945
History,What year did World War II end? (1930),1945
Science,What planet is known as the Red Planet? (1931),Mars
Culture,Which city is known as 'The Big Apple'? (1932),New York City
Science,What planet is known as the Red Planet? (1933),Mars
Geography,What is the capital of France? (1934),Paris
Science,What planet is known as the Red Planet? (1935),Mars
Science,What planet is known as the Red Planet? (1936),Mars
Celebrities,Who played the lead role in Black Panther? (1937),Chadwick Boseman
History,What year did World War II end? (1938),1945
Culture,Which city is known as 'The Big Apple'? (1939),New York City
Celebrities,Who played the lead role in Black Panther? (1940),Chadwick Boseman
History,What year did World War II end? (1941),1945
Science,What planet is known as the Red Planet? (1942),Mars
History,What year did World War II end? (1943),1945
Technology,Who founded Microsoft? (1944),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (1945),Argentina
Sports,Which country won the FIFA World Cup in 2022? (1946),Argentina
Math,What is the square root of 144? (1947),12
Geography,What is the capital of France? (1948),Paris
Science,What planet is known as the Red Planet? (1949),Mars
Science,What planet is known as the Red Planet? (1950),Mars
Technology,Who founded Microsoft? (1951),Bill Gates
Technology,Who founded Microsoft? (1952),Bill Gates
Geography,What is the capital of France? (1953),Paris
Culture,Which city is known as 'The Big Apple'? (1954),New York City
History,What year did World War II end? (1955),1945
Math,What is the square root of 144? (1956),12
Technology,Who founded Microsoft? (1957),Bill Gates
Celebrities,Who played the lead role in Black Panther? (1958),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (1959),Argentina
Science,What planet is known as the Red Planet? (1960),Mars
Sports,Which country won the FIFA World Cup in 2022? (1961),Argentina
Technology,Who founded Microsoft? (1962),Bill Gates
Technology,Who founded Microsoft? (1963),Bill Gates
Celebrities,Who played the lead role in Black Panther? (1964),Chadwick Boseman
Celebrities,Who played the lead role in Black Panther? (1965),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (1966),Argentina
Geography,What is the capital of France? (1967),Paris
Sports,Which country won the FIFA World Cup in 2022? (1968),Argentina
Technology,Who founded Microsoft? (1969),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (1970),Argentina
Science,What planet is known as the Red Planet? (1971),Mars
Geography,What is the capital of France? (1972),Paris
Technology,Who founded Microsoft? (1973),Bill Gates
Technology,Who founded Microsoft? (1974),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (1975),Argentina
History,What year did World War II end? (1976),1945
Math,What is the square root of 144? (1977),12
Technology,Who founded Microsoft? (1978),Bill Gates
Culture,Which city is known as 'The Big Apple'? (1979),New York City
Culture,Which city is known as 'The Big Apple'? (1980),New York City
Technology,Who founded Microsoft? (1981),Bill Gates
Math,What is the square root of 144? (1982),12
History,What year did World War II end? (1983),1945
Technology,Who founded Microsoft? (1984),Bill Gates
Science,What planet is known as the Red Planet? (1985),Mars
Math,What is the square root of 144? (1986),12
Math,What is the square root of 144? (1987),12
Sports,Which country won the FIFA World Cup in 2022? (1988),Argentina
History,What year did World War II end? (1989),1945
Science,What planet is known as the Red Planet? (1990),Mars
Geography,What is the capital of France? (1991),Paris
Sports,Which country won the FIFA World Cup in 2022? (1992),Argentina
Culture,Which city is known as 'The Big Apple'? (1993),New York City
Science,What planet is known as the Red Planet? (1994),Mars
Culture,Which city is known as 'The Big Apple'? (1995),New York City
Science,What planet is known as the Red Planet? (1996),Mars
Science,What planet is known as the Red Planet? (1997),Mars
History,What year did World War II end? (1998),1945
Math,What is the square root of 144? (1999),12
Science,What planet is known as the Red Planet? (2000),Mars
